Exemplar_Size,Task 1,Task 2,Task 3,Task 4,Task 5,Method
All Exemplars,0.9779935275080908,0.632093023255814,0.16424581005586586,0.1556603773584905,0.20300751879699236,FeTrIL
All Exemplars,0.9754716981132076,0.9038901601830664,0.16393989983305504,0.1491477272727272,0.11779448621553881,FeTrIL
All Exemplars,0.9467391304347827,0.5738241308793456,0.1795302013422818,0.1497860199714693,0.12155388471177939,FeTrIL
All Exemplars,0.9594871794871794,0.7207392197125256,0.11182432432432425,0.1530758226037196,0.1240601503759398,FeTrIL
All Exemplars,0.9492600422832981,0.602116402116402,0.15180722891566262,0.09896602658788774,0.1516290726817042,FeTrIL
All Exemplars,0.984971098265896,0.29685039370078736,0.1561461794019933,0.1412268188302425,0.12155388471177939,FeTrIL
All Exemplars,0.9650872817955113,0.6992,0.4767710049423394,0.4076704545454545,0.3756892230576441,DDGR
All Exemplars,0.9640897755610972,0.6732283464566929,0.48039867109634554,0.29786019971469324,0.2909774436090225,DDGR
All Exemplars,0.9676348547717843,0.5714285714285714,0.44781144781144777,0.40231548480463086,0.3716791979949875,DDGR
All Exemplars,0.9792880258899677,0.5666666666666667,0.44272211720226834,0.4289308176100629,0.3641604010025062,DDGR
All Exemplars,0.9680511182108626,0.6474654377880185,0.4595103578154426,0.42798742138364776,0.3473684210526315,DDGR
All Exemplars,0.9723076923076922,0.6659959758551307,0.5232323232323233,0.4555078683834048,0.33458646616541354,DDGR
All Exemplars,0.9881987577639751,0.7831730769230769,0.5277669902912622,0.37389937106918236,0.3370927318295739,DDGR
All Exemplars,0.9558386411889599,0.5712280701754386,0.5342981186685961,0.3729936305732484,0.28095238095238095,DDGR
All Exemplars,0.9560723514211886,0.8458677685950413,0.5335537190082643,0.4042918454935622,0.29899749373433576,DDGR
All Exemplars,0.9686075949367089,0.8207171314741035,0.5415692821368948,0.4782106782106782,0.337844611528822,DDGR
All Exemplars,0.9556728232189974,0.4950617283950617,0.4362068965517241,0.3205317577548006,0.27568922305764404,DDGR
All Exemplars,0.9637554585152838,0.4968152866242038,0.515438596491228,0.38375184638109305,0.2676691729323307,DDGR
All Exemplars,0.9615384615384615,0.531748726655348,0.3871720116618075,0.2595135908440629,0.2919799498746866,DDGR
All Exemplars,0.978588807785888,0.6236434108527131,0.41096408317580335,0.35974842767295595,0.3844611528822055,DDGR
All Exemplars,0.9649867374005305,0.8465863453815261,0.5763513513513513,0.43862660944206,0.36741854636591476,DDGR
All Exemplars,0.9577002053388091,0.5096,0.3848484848484849,0.38871201157742397,0.3428571428571428,DDGR
All Exemplars,0.9653679653679653,0.6107334525939178,0.38181818181818183,0.33412112259970456,0.3969924812030075,DDGR
All Exemplars,0.9716814159292035,0.5838998211091234,0.4822289156626506,0.4343949044585987,0.2734335839598997,DDGR
All Exemplars,0.9915857605177993,0.6469767441860466,0.4938547486033519,0.4443396226415094,0.38421052631578945,DDGR
All Exemplars,0.9676959619952494,0.6017152658662093,0.35,0.33009985734664765,0.3922305764411027,DDGR
All Exemplars,0.981656804733728,0.7340857787810384,0.42234636871508374,0.3562231759656652,0.3240601503759398,DDGR
All Exemplars,0.9676549865229112,0.6672268907563026,0.4280701754385964,0.3751846381093058,0.31503759398496245,DDGR
All Exemplars,0.960506329113924,0.7402390438247011,0.5779242174629324,0.3089871611982881,0.3385964912280701,DDGR
All Exemplars,0.9737704918032787,0.6344969199178644,0.5326599326599326,0.44206008583690987,0.3558897243107769,DDGR
All Exemplars,0.9792880258899677,0.7795348837209302,0.47523277467411545,0.4591194968553459,0.3390977443609023,DDGR
All Exemplars,0.9735849056603773,0.8407322654462244,0.5165275459098497,0.38863636363636356,0.28822055137844604,DDGR
All Exemplars,0.9663043478260869,0.6458077709611452,0.5161073825503355,0.2935805991440799,0.3132832080200501,DDGR
All Exemplars,0.9723076923076922,0.6525667351129364,0.5449324324324325,0.48040057224606575,0.4030075187969924,DDGR
All Exemplars,0.9492600422832982,0.5220458553791887,0.44156626506024094,0.20768094534711964,0.2994987468671678,DDGR
All Exemplars,0.9855491329479769,0.8177165354330709,0.5162790697674418,0.270756062767475,0.29298245614035084,DDGR
All Exemplars,0.9625935162094763,0.5831999999999999,0.3901153212520593,0.3338068181818182,0.32531328320802,VAE_Adapt
All Exemplars,0.9625935162094763,0.6177165354330709,0.4681063122923588,0.36690442225392295,0.39022556390977436,VAE_Adapt
All Exemplars,0.9651452282157678,0.6898450946643717,0.3747474747474747,0.4393632416787264,0.3032581453634085,VAE_Adapt
All Exemplars,0.9928802588996763,0.8568627450980392,0.4143667296786389,0.3069182389937107,0.28822055137844604,VAE_Adapt
All Exemplars,0.96741214057508,0.7755760368663595,0.6677966101694915,0.4320754716981131,0.4521303258145363,VAE_Adapt
All Exemplars,0.9723076923076922,0.6201207243460765,0.42188552188552186,0.3310443490701001,0.3907268170426065,VAE_Adapt
All Exemplars,0.9881987577639751,0.5836538461538462,0.4376699029126213,0.2836477987421383,0.29724310776942353,VAE_Adapt
All Exemplars,0.9575371549893845,0.5856140350877193,0.37279305354558606,0.31770700636942667,0.09047619047619045,VAE_Adapt
