Exemplar_Size,Task 1,Task 2,Task 3,Task 4,Task 5,Method
All Exemplars,0.8435897435897436,0.664179104477612,0.5440758293838862,0.39799331103678925,0.29789473684210516,DDGR
All Exemplars,0.9595505617977527,0.6870588235294117,0.24744186046511624,0.37105263157894736,0.2931578947368421,DDGR
All Exemplars,0.998,0.5875706214689266,0.3256198347107438,0.2511784511784512,0.2510526315789473,DDGR
All Exemplars,0.9761904761904763,0.6994082840236686,0.4497777777777777,0.3178807947019867,0.2694736842105263,DDGR
All Exemplars,0.9738095238095239,0.5414285714285714,0.3872549019607843,0.38685121107266435,0.33210526315789474,DDGR
All Exemplars,0.9103448275862069,0.6938775510204082,0.39142857142857135,0.37257525083612036,0.29368421052631577,DDGR
All Exemplars,0.9514285714285714,0.6887218045112782,0.45384615384615384,0.3672354948805461,0.29263157894736835,DDGR
All Exemplars,0.9345454545454543,0.7033112582781457,0.3711627906976743,0.3714285714285714,0.2789473684210526,DDGR
All Exemplars,0.9490909090909092,0.6270676691729323,0.5215311004784688,0.380327868852459,0.29052631578947363,DDGR
All Exemplars,0.9066666666666666,0.5244755244755245,0.4385964912280701,0.34089347079037796,0.2784210526315789,DDGR
All Exemplars,0.9386666666666666,0.5988304093567252,0.41757322175732214,0.36815286624203825,0.27789473684210525,DDGR
All Exemplars,0.8307692307692308,0.6535714285714286,0.4253521126760564,0.386013986013986,0.35631578947368425,DDGR
All Exemplars,0.9480519480519479,0.5776119402985075,0.47397260273972597,0.46301369863013697,0.33368421052631575,DDGR
All Exemplars,0.9342105263157894,0.6503067484662577,0.5656903765690375,0.3398058252427184,0.2852631578947368,DDGR
All Exemplars,0.928125,0.637313432835821,0.43873873873873875,0.45016949152542374,0.3052631578947368,DDGR
All Exemplars,0.9384615384615383,0.6644736842105263,0.47594936708860763,0.29078498293515354,0.3231578947368421,DDGR
All Exemplars,0.9222222222222223,0.4925170068027211,0.43862660944206,0.3980263157894736,0.3057894736842105,DDGR
All Exemplars,0.9710843373493976,0.5768115942028984,0.42710280373831777,0.3099656357388315,0.2663157894736842,DDGR
All Exemplars,0.8727272727272727,0.7831168831168831,0.6017021276595744,0.4099009900990098,0.3452631578947368,VAE_BBox
